Student_ID,Age,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Diet_Quality,Internet_Quality,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Final_Score,Gender_Female,Gender_Male,Gender_Non-Binary,Part_Time_Job_No,Part_Time_Job_Yes,Study_Method_Hybrid,Study_Method_Offline,Study_Method_Online,Extracurricular_No,Extracurricular_Yes,Work_Life_Balance
STU00001,17,0.682804674457429,0.6472663139329806,7.3,0.14444444444444443,0.29670329670329676,3.07,0,0,3,0,1.8,0.8330957626020473,True,False,False,True,False,False,False,True,False,True,7.75
STU00002,22,0.33806343906510855,0.45679012345679015,7.9,0.28888888888888886,0.0,2.66,0,2,2,2,1.0,0.8969806919787483,False,True,False,False,True,False,True,False,True,False,5.985
STU00003,23,0.4215358931552588,0.5449735449735451,6.7,0.17777777777777776,0.46153846153846156,3.27,0,2,1,2,4.2,0.9402617597511987,True,False,False,True,False,True,False,False,True,False,5.885
STU00004,22,0.48414023372287146,0.691358024691358,3.7,0.25555555555555554,0.1978021978021978,2.87,0,1,0,2,3.6,0.8801347673966567,True,False,False,True,False,False,True,False,True,False,4.76
STU00005,21,0.2838063439065108,0.8377425044091711,7.4,0.6666666666666665,0.2857142857142857,2.82,0,2,2,2,4.5,0.6725411429311908,False,True,False,False,True,False,True,False,True,False,5.41
STU00006,22,0.41569282136894825,0.6948853615520283,6.5,0.8999999999999999,0.36263736263736257,3.16,1,0,1,0,1.4,0.9222495788518855,True,False,False,True,False,True,False,False,True,False,5.75
STU00007,17,0.41569282136894825,0.6278659611992947,5.0,0.7555555555555555,0.27472527472527475,2.92,0,2,1,2,4.2,0.5465854606712452,False,True,False,True,False,False,False,True,False,True,5.0
STU00008,19,0.12270450751252088,0.6014109347442682,6.0,0.5777777777777777,0.46153846153846156,2.08,0,0,0,2,7.1,0.2828819489438902,False,True,False,True,False,False,True,False,False,True,3.745
STU00009,21,0.5859766277128547,0.9223985890652557,6.7,0.2222222222222222,0.24175824175824176,3.28,2,3,2,0,4.0,0.9607360373202022,True,False,False,True,False,False,False,True,True,False,6.87
STU00010,19,0.5158597662771286,0.5044091710758378,6.4,0.39999999999999997,0.4945054945054945,2.05,0,0,0,0,4.3,0.7571595179473888,True,False,False,True,False,True,False,False,False,True,6.300000000000001
STU00011,21,0.3113522537562604,0.5661375661375663,6.7,0.3777777777777778,0.4285714285714286,3.05,0,0,2,2,6.5,0.7876117662304004,True,False,False,True,False,False,False,True,False,True,5.225
STU00012,19,0.38731218697829717,0.7089947089947091,7.1,0.9333333333333333,0.4725274725274725,2.95,0,1,2,2,4.2,0.6724115588959441,False,True,False,False,True,False,True,False,False,True,5.88
STU00013,18,0.5,0.871252204585538,5.8,0.6333333333333333,0.29670329670329676,3.09,0,0,2,1,6.8,0.695218349099391,False,False,True,True,False,True,False,False,True,False,5.904999999999999
STU00014,19,0.42404006677796324,0.345679012345679,7.7,0.4222222222222222,0.0,3.49,1,0,1,1,4.6,0.8202669431126085,False,True,False,False,True,False,False,True,True,False,6.4
STU00015,22,0.38814691151919867,0.8165784832451499,6.5,0.45555555555555544,0.04395604395604395,2.54,0,1,2,1,3.5,0.996371647013088,False,True,False,True,False,False,False,True,False,True,5.585
STU00016,18,0.17278797996661102,0.8500881834215168,5.2,0.41111111111111115,0.36263736263736257,2.62,1,0,1,0,7.0,0.5662822340287678,False,True,False,True,False,False,True,False,True,False,3.645
STU00017,19,0.5083472454090151,0.691358024691358,5.7,0.4444444444444445,0.5494505494505494,3.23,0,3,0,1,3.2,0.8430737333160555,True,False,False,False,True,False,False,True,True,False,5.905
STU00018,21,0.43656093489148584,0.3156966490299824,5.9,0.3777777777777778,0.2857142857142857,2.7,0,0,2,2,3.4,0.8973694440844889,True,False,False,True,False,True,False,False,False,True,5.575
STU00019,21,0.46160267111853087,0.5220458553791889,8.0,0.4333333333333334,0.4065934065934066,3.59,1,0,4,2,1.7,0.9550343397693405,True,False,False,False,True,False,False,True,False,True,6.775
STU00020,24,0.16110183639398998,0.6208112874779541,7.2,0.45555555555555544,0.5714285714285714,2.62,0,0,0,0,7.3,0.5073214979914475,True,False,False,True,False,True,False,False,True,False,4.575
STU00021,21,0.6911519198664441,0.6966490299823633,6.5,1.0,0.27472527472527475,3.42,1,3,0,1,4.6,0.8442399896332772,False,True,False,True,False,False,True,False,True,False,7.4
STU00022,20,0.4415692821368948,0.4285714285714286,7.0,0.27777777777777773,0.37362637362637363,3.45,0,2,1,2,6.0,0.8069197874821822,True,False,False,True,False,True,False,False,False,True,6.154999999999999
STU00023,17,0.3514190317195326,0.6031746031746033,6.4,0.7888888888888888,0.5824175824175823,3.31,1,0,1,2,5.1,0.7116755215757419,False,True,False,False,True,False,True,False,False,True,5.315
STU00024,21,0.7545909849749584,0.7707231040564375,6.5,0.31111111111111106,0.27472527472527475,2.61,1,0,4,2,5.2,0.9633277180251395,True,False,False,False,True,False,True,False,False,True,7.78
STU00025,18,0.40818030050083476,0.5502645502645502,7.7,1.0,0.5274725274725274,3.23,2,1,3,2,3.5,0.7556045095244267,False,True,False,True,False,False,True,False,False,True,6.305
STU00026,24,0.17362270450751252,0.5925925925925928,7.2,0.6777777777777776,0.39560439560439553,3.54,1,2,2,2,6.8,0.6179862640922639,True,False,False,False,True,False,False,True,True,False,4.65
